Продажу билетов на конкурс «Евровидение» приостановили в Израиле,Власти говорят о возможных махинациях
Полиция в Крыму освободила архиепископа Православной церкви Украины Климента без составления протокола,"По словам его адвокатов, сотрудники внутренних органов сначала пытались обвинить его в краже церковного облачения, а потом собирались оформить мелкое хулиганство за якобы нецензурную брань"
Венесуэльская оппозиция планирует сегодня новые акции протеста,"Ее лидер Хуан Гуайдо также объявил, что намерен сегодня вернуться в республику"
Протесты в столице Алжира накануне привели к остановке метро и перекрытым улицам,Граждане страны выступают против планов 82-летнего президента Абдельазиза Бутефлики идти на пятый президентский срок
"США и Китай, по некоторым данным, близки к заключению торговой сделки",О сделке может быть объявлено на саммите американского президента Дональда Трампа с китайским лидером Си Цзиньпином в конце месяца
"Россия ведет собственное расследование покушения на Скрипалей, напомнили в Москве","Оно будет доведено до логического конца, сказала официальный представитель МИД Мария Захарова"
Суд в Петербурге сегодня рассмотрит дело блогера Руслана Соколовского,"Ранее его осудили за то, что он ловил покемонов в храме…"
Лидер венесуэльской оппозиции намерен вернуться на родину в ближайшие два дня,"Как ожидается, Хуан Гуайдо объявит новые акции протеста против власти Николаса Мадуро…"
Посол России в Лондоне Александр Яковенко ожидает официальных извинений за клевету от газеты 'Мэйл он санди',Письмо главному редактору на этот счет уже отправлено…
Сегодня исполняется год со дня отравления в Солсбери Сергея и Юлии Скрипалей,Виновные к ответственности не привлечены…
В СБ ООН не прошел ни один из предложенных проектов резолюции по Венесуэле.,Свои проекты представили США и Россия.
Суд в Аргентине оправдал бывшего президента страны Карлоса Менема,Его обвиняли в препятствовании расследованию теракта у еврейского культурного центра в 1994 году
В Госдуму внесен законопроект об ипотечных каникулах,"Согласно документу, если заемщик попал в трудную жизненную ситуацию, то банки ему дадут полгода, чтобы возобновить платежи по кредиту"
"КНДР на переговорах с США требовала отмены не всех санкций, а только тех, что вредят гражданской экономике",Это заявил глава МИДа Северной Кореи Ли Ён Хо
Следственный комитет отказался возбуждать дело о вбросах бюллетеней на выборах губернатора Подмосковья,"Ведомство не верит в подлинность видеозаписи, хотя она была сделана на специальную камеру наблюдения на участке. Об этом «Эху» рассказал эксперт движения «Голос» Василий Вайсенберг"
Facebook в России могут оштрафовать на 5 тысяч рублей,Это максимальная сумма по административной статье о непредоставлении сведений…
Польша потратит на модернизацию армии рекордные 50 миллиардов долларов,"Программа рассчитана до 2026 года, сообщил министр обороны Мариуш Блащак…"
Майор Черноморского флота Дмитрий Долгополов приговорен к 10-ти годам колонии за шпионаж в пользу Украины,Его подруга Анна Сухоносова получила 9 лет заключения…
Российские авиакомпании сегодня изменили маршруты 33 рейсов из-за конфликта Индии и Пакистана,Это сообщил в телеэфире замглавы Минтранса Александр Юрчик…
Российские пассажиры не смогли вылететь из Дели из-за конфликта Индии и Пакистана,Ситуацию взяли под контроль представители российского посольства в Индии…
"Северокорейский руководитель на переговорах с президентом США в Ханое просил о частичной, а не полной отмене санкций",Об этом сообщил министр иностранных дел КНДР…
Беньямин Нетаньяху в телеобращении отверг обвинения в коррупции,"Премьер-министр заявил, что намерен оставаться на своем посту еще много лет…"
"Родители детей, заболевших дизентерией в столичных детских садах, обратились в суд",Они подали иск к властям Москвы и компании Евгения Пригожина…
"Умер известный американский дирижер, пианист и композитор Андре Превин",Он скончался в своем доме в Нью-Йорке в возрасте 89-ти лет…
"В Южной Корее российское судно протаранило круизный корабль, а затем врезалось в автомобильный мост","Как выяснилось, капитан был пьян…"
Бывший адвокат Трампа Майкл Коэн сегодня третий день подряд дает показания Конгрессу,Слушания в комитете по разведке палаты представителей проходят в закрытом режиме…
"В Генпрокуратуре сообщили, что найдено новое имущество Александра Шестуна","92 земельных участка и 4 здания были зарегистрированы на других лиц, но в ведомстве полагают, что фактически они принадлежали бывшему главе Серпуховского района Подмосковья…"
"Биньямин Нетаньяху заявил, что попытки обвинить его в коррупции развалятся как карточный домик","Премьер-министр Израиля сказал, что собирается оставаться на своем посту еще много лет…"
В Москве на новом стадионе клуба 'Динамо' отменили первый матч из-за плохого газона,Комиссия РФПЛ признала его непригодным для игры…
Бывшая сотрудница движения 'Открытая Россия' Мария Баронова перешла на работу на телеканал RT,"Она рассказала РБК, что будет там заниматься благотворительным проектом…"
Facebook в России могут оштрафовать на 5 тысяч рублей,Это максимальная сумма по административной статье о непредоставлении сведений…
В Подмосковье легкомоторный самолет упал на дачный дом,Погибли пилот и пассажир…
Майор Черноморского флота Дмитрий Долгополов приговорен к 10-ти годам колонии за шпионаж в пользу Украины,Его подруга Анна Сухоносова получила 9 лет заключения…
Запрет на полеты над Пакистаном для российских авиакомпаний продлен до утра пятницы,Из-за конфликта Индии и Пакистана сегодня были изменены маршруты 33-х рейсов у пяти авиакомпаний…
Задержанным в Австрии лыжникам грозит до 3-х лет тюрьмы,"Пятерых спортсменов сборных Австрии, Казахстана и Эстонии подозревают в нарушении антидопингового законодательства, а также в спортивном мошенничестве…"
"Умер Эдвард Никсон, младший брат бывшего президента США Ричарда Никсона",Ему было 88 лет…
"Власти Петербурга не готовят новых документов по Исаакиевскому собору, потому что нет заявления от РПЦ",Это сообщил вице-губернатор Евгений Елин…
Глобальный сбой произошел в работе сервиса YouTube,"Это следует из данных портала DownDetector, который отслеживает функционирование популярных сетевых ресурсов…"
"Пассажирский самолет, по некоторым данным, выкатился за пределы взлетно-посадочной полосы в аэропорту Пулково",Лайнер «Узбекских авиалиний» прилетел из Ташкента
Выборы в эстонский парламент состоятся сегодня,"От них не ожидается каких-либо резких перемен в стране, — сказал «Эху Москвы» старший научный сотрудник Центра европейских исследований Института мировой экономики и международных отношений РАН Владимир Оленченко…"
В Берлине прошла демонстрация против реформы авторского права в Евросоюзе,На акцию пришли 3500 человек…
